Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-03-20,ADANIPORTS,EQ,325.4,327.05,329.8,324.7,325.0,325.45,326.37,4103266,133918139150000.0,38323,2296539,0.5597
2017-03-21,ADANIPORTS,EQ,325.45,325.0,327.3,320.05,326.0,325.75,323.24,2802311,90581933690000.0,29552,1527071,0.5449
2017-03-22,ADANIPORTS,EQ,325.75,321.9,324.8,319.35,323.85,323.65,322.43,2518171,81194045645000.0,40349,1271889,0.5051
2017-03-23,ADANIPORTS,EQ,323.65,324.0,327.0,322.1,325.3,325.6,325.18,3911142,127182184134999.98,37410,2489879,0.6365999999999999
2017-03-24,ADANIPORTS,EQ,325.6,327.2,327.8,321.7,322.5,323.25,324.24,4636734,150339604740000.0,56281,3389237,0.731
2017-03-27,ADANIPORTS,EQ,323.25,322.6,324.0,317.65,319.55,319.3,319.87,2353739,75290195740000.0,32005,1290332,0.5482
2017-03-28,ADANIPORTS,EQ,319.3,321.05,323.0,319.5,320.95,320.85,321.2,1760774,56555964670000.01,21323,936301,0.5318
2017-03-29,ADANIPORTS,EQ,320.85,321.15,322.0,316.8,321.5,321.0,319.53,4426029,141423453015000.0,29225,3121738,0.7053
2017-03-30,ADANIPORTS,EQ,321.0,321.9,341.9,320.55,341.0,339.3,335.19,9728166,326074562365000.0,91670,3532683,0.36310000000000003
2017-03-31,ADANIPORTS,EQ,339.3,342.0,342.7,336.0,340.9,339.6,339.02,3417463,115858216559999.98,38884,1243233,0.3638
2017-04-03,ADANIPORTS,EQ,339.6,340.6,343.9,338.75,342.95,342.1,341.37,2441776,83355549895000.0,31185,1240395,0.508
2017-04-05,ADANIPORTS,EQ,342.1,343.85,359.25,343.05,357.75,358.15,353.39,5947873,210192349700000.0,69614,1932843,0.325
2017-04-06,ADANIPORTS,EQ,358.15,355.75,358.6,351.1,356.5,356.65,353.84,3524928,124727793230000.0,40333,1855518,0.5264
2017-04-07,ADANIPORTS,EQ,356.65,352.25,353.35,345.55,348.05,347.15,349.15,4918075,171716624500000.0,47583,2472686,0.5028
2017-04-10,ADANIPORTS,EQ,347.15,348.05,353.85,346.05,352.9,352.15,350.75,2222773,77964591085000.0,20691,744399,0.33490000000000003
2017-04-11,ADANIPORTS,EQ,352.15,352.45,355.85,330.55,333.2,333.8,339.0,9397306,318573343030000.0,84576,4027947,0.4286
2017-04-12,ADANIPORTS,EQ,333.8,333.8,336.6,323.65,327.9,327.6,329.9,8100661,267241429175000.0,95623,4101433,0.5063000000000001
2017-04-13,ADANIPORTS,EQ,327.6,325.6,325.6,318.3,319.5,320.45,321.25,5730306,184087506960000.0,47289,3121971,0.5448
2017-04-17,ADANIPORTS,EQ,320.45,320.65,327.2,317.6,319.2,320.0,322.18,4219235,135933341340000.02,42707,1383111,0.32780000000000004
2017-04-18,ADANIPORTS,EQ,320.0,321.65,335.25,318.15,318.55,319.35,328.63,9315409,306128402165000.0,78663,2643328,0.2838
2017-04-19,ADANIPORTS,EQ,319.35,322.0,327.65,319.25,326.85,325.8,324.32,4403069,142799037310000.0,59133,1710217,0.3884
2017-04-20,ADANIPORTS,EQ,325.8,327.45,333.2,324.0,332.6,332.4,331.05,4439900,146984281150000.0,58211,1896546,0.4272
2017-04-21,ADANIPORTS,EQ,332.4,335.0,335.0,324.15,326.0,326.0,329.25,2517582,82892613730000.0,29665,831100,0.3301
2017-04-24,ADANIPORTS,EQ,326.0,328.15,334.2,327.25,332.15,331.0,331.79,5048373,167501268295000.0,40722,2475361,0.4903
2017-04-25,ADANIPORTS,EQ,331.0,332.5,333.1,326.5,330.9,331.35,330.45,4330049,143086225190000.0,72237,2507484,0.5791
2017-04-26,ADANIPORTS,EQ,331.35,332.45,333.9,318.0,322.65,323.5,325.67,4078479,132823304205000.0,54353,1565736,0.3839
2017-04-27,ADANIPORTS,EQ,323.5,325.15,328.9,321.15,325.0,322.5,323.82,2983463,96609122470000.0,38032,1489980,0.4994
2017-04-28,ADANIPORTS,EQ,322.5,324.8,328.45,321.6,326.5,327.7,325.82,1808460,58924063645000.01,20755,802362,0.4437
2017-05-02,ADANIPORTS,EQ,327.7,328.75,332.9,326.65,330.0,330.6,330.11,4233839,139763914215000.02,53938,2830100,0.6684
2017-05-03,ADANIPORTS,EQ,330.6,330.6,332.3,323.9,327.15,327.45,327.24,3271643,107062211260000.0,20835,1959551,0.599
