Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-02-25,ADANIPOWER,EQ,39.85,39.85,41.0,36.35,40.6,40.45,39.25,17835657,69999991895000.01,36106,2157994,0.121
2019-02-26,ADANIPOWER,EQ,40.45,39.7,48.9,38.0,48.45,46.65,43.58,39370573,171580472850000.0,82172,3957993,0.1005
2019-02-27,ADANIPOWER,EQ,46.65,48.45,49.95,46.5,46.9,47.75,48.52,39328080,190814534390000.0,77569,3274451,0.0833
2019-02-28,ADANIPOWER,EQ,47.75,47.6,48.8,46.3,48.5,48.15,47.7,24563416,117156538475000.0,43539,2036454,0.08289999999999999
2019-03-01,ADANIPOWER,EQ,48.15,48.35,49.0,47.75,48.25,48.4,48.33,16489834,79697324305000.0,24921,2308198,0.14
2019-03-05,ADANIPOWER,EQ,48.4,49.0,52.25,48.9,50.45,51.15,51.17,27455057,140475509505000.0,55834,3996810,0.1456
2019-03-06,ADANIPOWER,EQ,51.15,51.7,51.7,49.8,50.6,50.7,50.73,17876199,90680879750000.0,32648,2445874,0.1368
2019-03-07,ADANIPOWER,EQ,50.7,51.0,51.6,50.2,50.45,50.4,50.76,11306396,57386544160000.0,21749,2244660,0.1985
2019-03-08,ADANIPOWER,EQ,50.4,50.4,50.75,49.35,49.7,50.0,50.0,11908805,59549523800000.0,16392,2654662,0.2229
2019-03-11,ADANIPOWER,EQ,50.0,49.7,52.45,49.35,51.75,51.75,51.39,23678985,121679451145000.0,34639,3060077,0.1292
2019-03-12,ADANIPOWER,EQ,51.75,52.9,53.25,51.3,52.1,52.3,52.36,18892443,98929829615000.0,32531,3113548,0.1648
2019-03-13,ADANIPOWER,EQ,52.3,52.2,52.25,50.75,51.4,51.6,51.51,9764946,50301417135000.0,16732,1413783,0.1448
2019-03-14,ADANIPOWER,EQ,51.6,51.15,51.9,50.25,50.55,51.15,51.04,9423480,48092892670000.0,14538,1639884,0.174
2019-03-15,ADANIPOWER,EQ,51.15,50.5,51.25,50.2,50.3,50.85,50.84,10827468,55047103600000.0,14867,2336364,0.2158
2019-03-18,ADANIPOWER,EQ,50.85,50.9,51.15,49.15,49.55,49.85,49.96,10581699,52864669565000.0,17503,1940592,0.1834
2019-03-19,ADANIPOWER,EQ,49.85,49.85,52.25,49.05,49.75,50.0,50.42,14660154,73915303945000.0,25710,2442714,0.1666
2019-03-20,ADANIPOWER,EQ,50.0,50.0,50.25,47.85,48.6,48.6,48.81,13078843,63834450895000.01,21355,2475628,0.1893
2019-03-22,ADANIPOWER,EQ,48.6,48.8,50.1,47.85,48.0,48.2,48.99,14952355,73248472850000.0,19243,1836001,0.12279999999999999
2019-03-25,ADANIPOWER,EQ,48.2,47.6,48.35,47.25,47.7,47.6,47.8,8340825,39865288885000.0,15785,1611206,0.1932
2019-03-26,ADANIPOWER,EQ,47.6,47.9,48.8,47.4,47.5,47.8,48.2,9457346,45587403580000.0,13970,1366291,0.1445
2019-03-27,ADANIPOWER,EQ,47.8,48.1,48.45,46.5,46.65,46.9,47.73,7826448,37351777045000.0,12602,1324247,0.16920000000000002
2019-03-28,ADANIPOWER,EQ,46.9,46.95,47.6,46.6,46.75,46.9,47.1,8521212,40133591055000.0,12643,2921097,0.3428
2019-03-29,ADANIPOWER,EQ,46.9,47.05,50.35,46.8,47.95,48.2,48.6,20253763,98430322550000.0,27240,4617168,0.228
2019-04-01,ADANIPOWER,EQ,48.2,48.45,49.8,47.9,48.1,48.7,48.83,15730219,76804810500000.0,27490,2339791,0.1487
2019-04-02,ADANIPOWER,EQ,48.7,48.8,51.85,48.7,50.25,50.05,50.01,22623085,113126819965000.02,42357,4485864,0.19829999999999998
2019-04-03,ADANIPOWER,EQ,50.05,50.6,50.95,49.0,49.35,49.4,49.97,11039301,55168858579999.99,15700,1627248,0.1474
2019-04-04,ADANIPOWER,EQ,49.4,49.5,49.6,47.75,48.05,47.95,48.42,12299012,59548971865000.0,15879,1340324,0.109
2019-04-05,ADANIPOWER,EQ,47.95,48.25,50.4,48.05,49.95,49.85,49.22,13088231,64424613615000.0,19857,2716339,0.20750000000000002
2019-04-08,ADANIPOWER,EQ,49.85,50.25,50.9,49.2,50.5,50.2,50.14,13816483,69272548200000.0,23324,1824794,0.13210000000000002
2019-04-09,ADANIPOWER,EQ,50.2,50.4,50.6,49.3,50.2,50.15,49.91,7507082,37467601115000.0,15693,992889,0.1323
2019-04-10,ADANIPOWER,EQ,50.15,49.85,50.4,48.8,48.85,49.05,49.71,8075543,40146530465000.0,12607,1251419,0.155
2019-04-11,ADANIPOWER,EQ,49.05,48.95,50.8,48.15,50.4,50.45,49.36,15503574,76530835445000.0,20952,2514119,0.16219999999999998
2019-04-12,ADANIPOWER,EQ,50.45,50.5,54.9,50.25,52.7,53.2,52.2,41104239,214551885275000.0,57994,7061562,0.1718
2019-04-15,ADANIPOWER,EQ,53.2,53.25,55.25,50.55,54.45,54.6,53.42,36736634,196261054870000.0,61737,4601696,0.1253
2019-04-16,ADANIPOWER,EQ,54.6,54.5,55.1,53.75,54.1,54.35,54.39,14215499,77320824840000.0,21908,2335144,0.1643
2019-04-18,ADANIPOWER,EQ,54.35,54.0,55.8,52.8,53.85,54.15,54.41,18818096,102380462390000.0,30225,3335843,0.1773
2019-04-22,ADANIPOWER,EQ,54.15,53.8,54.5,50.35,50.6,50.85,52.35,13818482,72333105140000.0,23022,2997672,0.2169
2019-04-23,ADANIPOWER,EQ,50.85,50.85,52.2,50.6,51.25,51.1,51.23,11504673,58936704075000.0,16916,712696,0.061900000000000004
2019-04-24,ADANIPOWER,EQ,51.1,51.4,53.0,51.05,53.0,52.7,51.91,9800225,50875724760000.0,18239,2387351,0.2436
2019-04-25,ADANIPOWER,EQ,52.7,53.0,53.55,50.15,50.75,50.7,52.01,13776777,71657018105000.0,18913,4936290,0.3583
2019-04-26,ADANIPOWER,EQ,50.7,50.8,51.35,47.8,48.45,48.4,49.15,15899088,78146612580000.0,26962,4659699,0.29309999999999997
2019-04-30,ADANIPOWER,EQ,48.4,48.55,48.65,44.0,44.5,44.9,45.87,19021979,87246695270000.0,25605,4607273,0.2422
2019-05-02,ADANIPOWER,EQ,44.9,44.9,45.9,43.5,44.8,44.45,44.53,13724184,61120578910000.0,24076,1677454,0.1222
2019-05-03,ADANIPOWER,EQ,44.45,44.35,45.25,42.85,43.9,43.85,43.92,13632818,59868849770000.01,26251,1511642,0.1109
2019-05-06,ADANIPOWER,EQ,43.85,43.3,43.8,42.5,42.65,42.8,43.1,7489771,32277662839999.996,12678,1633973,0.2182
2019-05-07,ADANIPOWER,EQ,42.8,43.0,43.55,41.15,41.4,41.5,42.36,8436065,35734842890000.0,16201,1708953,0.20260000000000003
2019-05-08,ADANIPOWER,EQ,41.5,41.4,42.1,40.75,41.2,41.35,41.41,7510676,31099587900000.0,19750,953496,0.127
2019-05-09,ADANIPOWER,EQ,41.35,41.35,41.9,40.6,40.95,40.95,41.11,6432508,26442179495000.0,15818,954801,0.1484
2019-05-10,ADANIPOWER,EQ,40.95,41.15,42.3,40.85,41.3,41.45,41.54,5976875,24828448915000.0,16723,715278,0.11970000000000001
2019-05-13,ADANIPOWER,EQ,41.45,41.5,41.5,38.2,38.35,38.45,39.46,11897612,46950578035000.0,18594,2617586,0.22
2019-05-14,ADANIPOWER,EQ,38.45,38.15,41.45,37.35,41.0,40.8,40.17,14689706,59001990490000.0,30289,1382365,0.0941
2019-05-15,ADANIPOWER,EQ,40.8,41.05,41.25,38.1,38.3,38.65,39.4,10066705,39665321270000.0,21068,1860214,0.18480000000000002
2019-05-16,ADANIPOWER,EQ,38.65,38.55,40.7,37.65,40.35,40.3,39.14,12518377,49001854050000.0,22537,1723149,0.1376
2019-05-17,ADANIPOWER,EQ,40.3,40.5,41.25,38.7,40.7,40.65,39.8,13404672,53351603215000.0,21033,1871169,0.1396
2019-05-20,ADANIPOWER,EQ,40.65,44.7,47.55,42.65,46.75,46.75,45.58,40542988,184785131175000.0,72195,5649654,0.1393
